Day,Date,Pos,Total,ATK,% Detech,vaccine,hospital,ICU
0,Cannot specify date,2963,32131,,,,,
1,1/1/2020,0,0,0,0,,,
2,1/2/2020,0,0,0,0,,,
3,1/3/2020,0,0,0,0,,,
4,1/4/2020,0,2,0,0,,,
5,1/5/2020,0,2,0,0,,,
6,1/6/2020,0,5,0,0,,,
7,1/7/2020,0,0,0,0,,,
8,1/8/2020,1,1,0,100,,,
9,1/9/2020,4,13,0,30.76923077,,,
10,1/10/2020,0,18,0,0,,,
11,1/11/2020,0,3,0,0,,,
12,1/12/2020,2,6,0,33.33333333,,,
13,1/13/2020,2,14,0,14.28571429,,,
14,1/14/2020,6,7,0,85.71428571,,,
15,1/15/2020,5,12,0,41.66666667,,,
16,1/16/2020,1,9,0,11.11111111,,,
17,1/17/2020,0,5,0,0,,,
18,1/18/2020,1,23,0,4.347826087,,,
19,1/19/2020,1,6,0,16.66666667,,,
20,1/20/2020,3,48,0,6.25,,,
21,1/21/2020,0,12,0,0,,,
22,1/22/2020,1,8,0,12.5,,,
23,1/23/2020,3,24,0,12.5,,,
24,1/24/2020,2,19,0,10.52631579,,,
25,1/25/2020,2,26,0,7.692307692,,,
26,1/26/2020,7,61,0,11.47540984,,,
27,1/27/2020,4,59,0,6.779661017,,,
28,1/28/2020,10,78,0,12.82051282,,,
29,1/29/2020,8,108,0,7.407407407,,,
30,1/30/2020,8,135,0,5.925925926,,,
31,1/31/2020,6,142,0,4.225352113,,,
32,2/1/2020,9,224,0,4.017857143,,,
33,2/2/2020,14,153,0,9.150326797,,,
34,2/3/2020,8,128,0,6.25,,,
35,2/4/2020,16,235,0,6.808510638,,,
36,2/5/2020,8,387,0,2.067183463,,,
37,2/6/2020,8,205,0,3.902439024,,,
38,2/7/2020,4,152,0,2.631578947,,,
39,2/8/2020,8,104,0,7.692307692,,,
40,2/9/2020,3,61,0,4.918032787,,,
41,2/10/2020,5,51,0,9.803921569,,,
42,2/11/2020,2,65,0,3.076923077,,,
43,2/12/2020,5,116,0,4.310344828,,,
44,2/13/2020,5,69,0,7.246376812,,,
45,2/14/2020,2,53,0,3.773584906,,,
46,2/15/2020,6,81,0,7.407407407,,,
47,2/16/2020,0,33,0,0,,,
48,2/17/2020,1,125,0,0.8,,,
49,2/18/2020,6,124,0,4.838709677,,,
50,2/19/2020,1,188,0,0.531914894,,,
51,2/20/2020,2,193,0,1.03626943,,,
52,2/21/2020,4,190,0,2.105263158,,,
53,2/22/2020,0,180,0,0,,,
54,2/23/2020,2,255,0,0.784313725,,,
55,2/24/2020,4,351,0,1.13960114,,,
56,2/25/2020,6,489,0,1.226993865,,,
57,2/26/2020,6,721,0,0.832177531,,,
58,2/27/2020,0,1404,0,0,,,
59,2/28/2020,2,1174,0,0.170357751,,,
60,2/29/2020,1,731,0,0.136798906,,,
61,3/1/2020,2,621,0,0.322061192,,,
62,3/2/2020,3,751,0,0.399467377,,,
63,3/3/2020,6,716,0,0.837988827,,,
64,3/4/2020,4,632,0,0.632911392,,,
65,3/5/2020,2,671,0,0.298062593,,,
66,3/6/2020,3,619,0,0.484652666,,,
67,3/7/2020,4,696,0,0.574712644,,,
68,3/8/2020,11,560,0,1.964285714,,,
69,3/9/2020,8,807,0,0.991325898,,,
70,3/10/2020,12,611,0,1.963993453,,,
71,3/11/2020,22,1005,0,2.189054726,,,
72,3/12/2020,35,1054,0,3.320683112,,,
73,3/13/2020,44,1246,0,3.531300161,,,
74,3/14/2020,53,1356,0,3.908554572,,,
75,3/15/2020,114,2106,0,5.413105413,,,
76,3/16/2020,102,2190,0,4.657534247,,,
77,3/17/2020,163,3162,0,5.154965212,,,
78,3/18/2020,177,2696,0,6.565281899,,,
79,3/19/2020,238,2895,0,8.221070812,,,
80,3/20/2020,203,2109,0,9.625414889,,,
81,3/21/2020,220,1668,0,13.18944844,,,
82,3/22/2020,336,2058,0,16.32653061,,,
83,3/23/2020,205,2369,0,8.65344027,,,
84,3/24/2020,392,2363,0,16.58908168,,,
85,3/25/2020,469,2923,0,16.04515908,,,
86,3/26/2020,430,3358,0,12.80524122,,,
87,3/27/2020,228,3429,0,6.649168854,,,
88,3/28/2020,364,2627,0,13.85610963,,,
89,3/29/2020,176,2251,0,7.818747223,,,
90,3/30/2020,119,2320,0,5.129310345,,,
91,3/31/2020,350,2506,0,13.96648045,,,
92,4/1/2020,258,2777,0,9.290601368,,,
93,4/2/2020,247,2963,0,8.336145798,,,
94,4/3/2020,439,2762,0,15.89427951,,,
95,4/4/2020,361,3189,0,11.32016306,,,
96,4/5/2020,100,3525,0,2.836879433,,,
97,4/6/2020,130,3891,0,3.341043434,,,
98,4/7/2020,97,4738,0,2.047277332,,,
99,4/8/2020,82,3804,0,2.155625657,,,
100,4/9/2020,90,3577,0,2.516074923,,,
101,4/10/2020,73,3776,0,1.933262712,,,
102,4/11/2020,72,3892,0,1.849948613,,,
103,4/12/2020,76,2754,0,2.759622367,,,
104,4/13/2020,82,3698,0,2.217414819,,,
105,4/14/2020,67,3904,0,1.716188525,,,
106,4/15/2020,68,4879,0,1.393728223,,,
107,4/16/2020,80,5419,0,1.476287138,,,
108,4/17/2020,54,4892,0,1.103843009,,,
109,4/18/2020,46,6176,0,0.744818653,,,
110,4/19/2020,59,4466,0,1.3210927,,,
111,4/20/2020,57,4224,0,1.349431818,,,
112,4/21/2020,44,5517,0,0.797534892,,,
113,4/22/2020,61,6933,0,0.879849993,,,
114,4/23/2020,33,9222,0,0.357839948,,,
115,4/24/2020,85,6527,0,1.302282825,,,
116,4/25/2020,37,5619,0,0.658480157,,,
117,4/26/2020,24,5836,0,0.411240576,,,
118,4/27/2020,52,8072,0,0.64420218,,,
119,4/28/2020,35,9765,0,0.358422939,,,
120,4/29/2020,28,8772,0,0.319197446,,,
121,4/30/2020,16,11423,0,0.140068283,,,
122,5/1/2020,31,7530,0,0.411686587,,,
123,5/2/2020,5,9243,0,0.054094991,,,
124,5/3/2020,27,6085,0,0.443714051,,,
125,5/4/2020,23,6511,0,0.353248349,,,
126,5/5/2020,16,7326,0,0.218400218,,,
127,5/6/2020,22,6191,0,0.355354547,,,
128,5/7/2020,32,7667,0,0.417373158,,,
129,5/8/2020,18,7916,0,0.227387569,,,
130,5/9/2020,10,6194,0,0.161446561,,,
131,5/10/2020,6,5576,0,0.107604017,,,
132,5/11/2020,13,5759,0,0.225733634,,,
133,5/12/2020,12,6785,0,0.176860722,,,
134,5/13/2020,9,7440,0,0.120967742,,,
135,5/14/2020,14,7010,0,0.199714693,,,
136,5/15/2020,4,8075,0,0.049535604,,,
137,5/16/2020,8,6491,0,0.123247574,,,
138,5/17/2020,2,4043,0,0.049468217,,,
139,5/18/2020,5,6761,0,0.073953557,,,
140,5/19/2020,10,7656,0,0.13061651,,,
141,5/20/2020,4,8534,0,0.046871338,,,
142,5/21/2020,8,8627,0,0.09273212,,,
143,5/22/2020,5,7736,0,0.064632885,,,
144,5/23/2020,3,7914,0,0.037907506,,,
145,5/24/2020,8,4298,0,0.186133085,,,
146,5/25/2020,13,8194,0,0.158652673,,,
147,5/26/2020,6,9193,0,0.065267051,,,
148,5/27/2020,27,10021,0,0.269434188,,,
149,5/28/2020,15,9181,0,0.163380895,,,
150,5/29/2020,11,8759,0,0.125585112,,,
151,5/30/2020,5,7758,0,0.0644496,,,
152,5/31/2020,3,4797,0,0.062539087,,,
153,6/1/2020,2,8103,0,0.024682216,,,
154,6/2/2020,5,10293,0,0.048576703,,,
155,6/3/2020,5,6696,0,0.074671446,,,
156,6/4/2020,6,10029,0,0.059826503,,,
157,6/5/2020,6,8963,0,0.066941872,,,
158,6/6/2020,6,5259,0,0.114090131,,,
159,6/7/2020,3,5081,0,0.059043495,,,
160,6/8/2020,6,8670,0,0.069204152,,,
161,6/9/2020,4,10526,0,0.03800114,,,
162,6/10/2020,6,7940,0,0.075566751,,,
163,6/11/2020,4,10366,0,0.038587691,,,
164,6/12/2020,9,8818,0,0.10206396,,,
165,6/13/2020,6,5626,0,0.106647707,,,
166,6/14/2020,2,4798,0,0.041684035,,,
167,6/15/2020,0,7963,0,0,,,
168,6/16/2020,15,8936,0,0.16786034,,,
169,6/17/2020,1,8002,0,0.012496876,,,
170,6/18/2020,2,8137,0,0.024579083,,,
171,6/19/2020,8,6891,0,0.116093455,,,
172,6/20/2020,4,3943,0,0.1014456,,,
173,6/21/2020,9,3605,0,0.249653259,,,
174,6/22/2020,11,6205,0,0.17727639,,,
175,6/23/2020,4,5779,0,0.069216127,,,
176,6/24/2020,8,5263,0,0.15200456,,,
177,6/25/2020,4,6671,0,0.059961025,,,
178,6/26/2020,4,4320,0,0.092592593,,,
179,6/27/2020,7,3543,0,0.197572679,,,
180,6/28/2020,4,2547,0,0.157047507,,,
181,6/29/2020,12,6437,0,0.186422246,,,
182,6/30/2020,3,5259,0,0.057045066,,,
183,7/1/2020,14,4380,0,0.319634703,,,
184,7/2/2020,12,4645,0,0.258342304,,,
185,7/3/2020,3,4255,0,0.070505288,,,
186,7/4/2020,2,2406,0,0.08312552,,,
187,7/5/2020,8,2529,0,0.316330565,,,
188,7/6/2020,6,3114,0,0.192678227,,,
