Day,Date,Pos,Total,ATK,% Detech,vaccine,hospital,ICU
1,7/31/2021,14161,59041,2266,23.98502735,234161,200510,4691
2,8/1/2021,13214,53149,734,24.86217991,116087,205002,4765
3,8/2/2021,13845,57398,365,24.12104951,340412,208875,4768
4,8/3/2021,18316,74481,2470,24.59150656,378176,209039,4893
5,8/4/2021,17863,68635,522,26.02607999,387936,211076,4910
6,8/5/2021,16632,60211,4009,27.62285961,535142,213910,4993
7,8/6/2021,12278,47117,1444,26.05853514,646065,212926,4999
8,8/7/2021,13781,50841,6026,27.1060758,228460,212344,5159
9,8/8/2021,13028,53748,2577,24.23904145,180934,214786,5157
10,8/9/2021,14064,56886,958,24.72313047,539252,214421,5218
11,8/10/2021,17189,68463,548,25.1069921,582781,211223,5450
12,8/11/2021,16328,66851,2081,24.42446635,603247,210042,5407
13,8/12/2021,15080,57353,3678,26.29330637,256560,209028,5495
14,8/13/2021,12929,52063,1523,24.83337495,708922,212179,5565
15,8/14/2021,14557,58471,4716,24.89610234,252603,210376,5590
16,8/15/2021,12202,50791,1586,24.02394125,137108,210943,5615
17,8/16/2021,11274,54302,803,20.76166624,517251,210934,5626
18,8/17/2021,15693,63953,2102,24.53833284,536597,210032,5536
19,8/18/2021,17030,68932,7210,24.70550688,564641,207553,5458
20,8/19/2021,14346,60847,2841,23.57716896,679919,205946,5439
21,8/20/2021,16083,74919,1772,21.46718456,772904,205079,5388
22,8/21/2021,11081,46129,7094,24.02176505,293722,202230,5171
23,8/22/2021,8875,42140,2039,21.06074988,158670,200390,5239
24,8/23/2021,11358,54456,901,20.85720582,569535,195454,5290
25,8/24/2021,12838,64284,314,19.97075478,619213,192334,5529
26,8/25/2021,13670,62160,1185,21.99163449,683363,189268,5189
27,8/26/2021,11911,59708,2339,19.94875059,767118,186934,5174
28,8/27/2021,9124,50388,5066,18.10748591,875532,185200,5154
29,8/28/2021,8694,42463,2535,20.47429527,318274,182357,5109
30,8/29/2021,7003,31920,2670,21.93922306,236365,177702,5093
31,8/30/2021,9231,51170,2028,18.03986711,897577,176137,5058
32,8/31/2021,12030,65454,866,18.37931983,880234,171368,5003
33,9/1/2021,10617,50872,1880,20.87002673,775580,166922,4917
34,9/2/2021,9388,47992,2718,19.5615936,785307,163680,4841
35,9/3/2021,9571,49598,2327,19.29714908,919526,159800,4740
36,9/4/2021,8804,40007,2407,22.00614892,32908,155134,4741
37,9/5/2021,8284,36366,4966,22.77951933,188504,152105,4682
38,9/6/2021,9321,51299,2404,18.16994483,760710,148622,4601
39,9/7/2021,10626,55313,1112,19.2106738,764169,145465,4487
40,9/8/2021,11179,62253,2372,17.95736752,745731,142644,4387
41,9/9/2021,9716,51430,1904,18.89169745,761117,143038,4364
42,9/10/2021,10611,53625,1945,19.78741259,862896,141642,4330
43,9/11/2021,7535,41354,2534,18.22072835,281784,137859,4168
44,9/12/2021,8475,37858,2240,22.38628559,200178,135966,4103
45,9/13/2021,10643,54487,6436,19.53309964,761144,132113,4096
46,9/14/2021,11993,62363,783,19.23095425,819,129025,4080
47,9/15/2021,12466,59852,1216,20.8280425,831743,128546,3994
48,9/16/2021,11904,60004,1768,19.83867742,817171,128728,3811
49,9/17/2021,9078,52375,1630,17.3326969,936836,129421,3851
50,9/18/2021,6767,36856,3117,18.36064684,361557,120128,3701
51,9/19/2021,6259,37370,2509,16.74872893,262331,131095,3646
52,9/20/2021,7464,47733,1723,15.63698071,812937,132573,3582
53,9/21/2021,9281,54358,6593,17.07384378,803479,131655,3548
54,9/22/2021,8068,52202,2062,15.45534654,828018,129071,3464
55,9/23/2021,8896,49287,3088,18.04938422,923708,128367,3422
56,9/24/2021,6932,38751,3469,17.88857062,1485251,127392,3377
57,9/25/2021,5419,29396,2370,18.43448088,335836,124540,3323
58,9/26/2021,5942,31460,1759,18.88747616,229579,122463,3324
59,9/27/2021,7682,46970,2306,16.35512029,853581,120156,3341
60,9/28/2021,5989,37636,6855,15.91295568,839321,116711,3283
61,9/29/2021,8783,56382,5100,15.57766663,842131,115423,3232
62,9/30/2021,8602,50566,3326,17.01143061,802405,116075,3175
63,10/1/2021,7641,46568,5150,16.40826319,802990,115223,3144
64,10/2/2021,6134,34293,2906,17.88703234,298817,113394,3124
65,10/3/2021,6017,35419,2839,16.98805726,196726,112251,3074
66,10/4/2021,7330,49428,1743,14.82965121,739759,109748,3071
67,10/5/2021,8954,56866,3495,15.74578834,831407,108373,3013
68,10/6/2021,7168,46896,5652,15.2848857,802036,108022,3017
69,10/7/2021,8257,52703,4783,15.66703983,921845,109022,3000
70,10/8/2021,7413,49633,5016,14.93562751,1024959,110113,3003
71,10/9/2021,7648,38706,7228,19.75921046,461970,110128,2967
72,10/10/2021,6506,37754,9381,17.23261111,308811,110880,2985
73,10/11/2021,8999,52381,2498,17.17989347,900344,110265,2969
74,10/12/2021,11176,61955,1905,18.0388992,961154,108174,2954
75,13/10/2021,8437,48936,3586,17.24088606,639566,107168,2941
